"","","","","","","","","",""
"Provinsi","2019","","","2020","","","2021","",""
"","Perkotaan","Perdesaan","Perkotaan+Perdesaan","Perkotaan","Perdesaan","Perkotaan+Perdesaan","Perkotaan","Perdesaan","Perkotaan+Perdesaan"
"Aceh","56.21","67.87","64.53","47.35","57.72","54.83","40.72","52.51","48.83"
"Sumatera Utara","43.58","55.91","49.92","35.23","40.07","37.72","36.09","46.53","41.14"
"Sumatera Barat","51.84","61.36","57.71","42.59","52.33","48.59","46.34","54.59","51.17"
"Riau","57.23","71.49","66.08","43.09","65.31","56.76","42.53","66.09","56.66"
"Jambi","37.28","62.59","55.44","37.87","52.59","48.26","39.43","59.49","53.46"
"Sumatera Selatan","42.28","64.83","57.18","32.89","46.96","42.14","35.57","58.17","50.25"
"Bengkulu","58.15","67.66","64.81","43.46","59.17","54.34","39.98","58.06","52.11"
"Lampung","42.15","75.76","67.54","37.35","68.17","60.58","40.31","75.71","66.08"
"Kepulauan Bangka Belitung","57.86","63.17","60.61","51.14","60.21","55.68","55.07","66.18","60.24"
"Kepulauan Riau","41.43","44.98","42.01","31.13","46.32","33.46","27.83","47.97","30.54"
"DKI Jakarta","15.88","63.17","15.88","13.54","59.17","13.54","10.04","54.59","10.04"
"Jawa Barat","33.68","50.96","39.74","28.7","46.59","35","25.1","39.64","29.17"
"Jawa Tengah","50.97","63.92","58.04","49","61.5","55.91","45.24","62.69","54.04"
"DI Yogyakarta","51.58","87.24","63.09","48.88","82.3","59.53","47.57","77.95","55.52"
"Jawa Timur","43.74","66.44","55.83","43.97","61.79","53.51","42.49","63.01","52.39"
"Banten","38.7","51.52","42.71","26.24","41.76","30.92","26.94","40.91","30.88"
"Bali","63.28","70.16","65.98","50.32","62.25","54.87","53.1","51.57","52.57"
"Nusa Tenggara Barat","44.12","58.4","52.52","39.74","52.01","46.87","46.14","57.75","52.47"
"Nusa Tenggara Timur","68.78","75.58","74.23","56.86","66.95","64.98","50.37","64.91","61.51"
"Kalimantan Barat","51.77","69.38","64.1","42.3","57.46","52.98","49.07","70.45","63.74"
"Kalimantan Tengah","53.72","71.21","65.18","37.95","60.02","52.59","38.96","62.541","54.03"
"Kalimantan Selatan","43.67","61.46","54.1","37.95","54.2","47.41","36.73","59.29","49.26"
"Kalimantan Timur","31.56","59.99","42.18","27.06","49.82","35.75","33.98","54.18","40.36"
"Kalimantan Utara","42.73","59.99","42.18","27.06","60.44","47.41","26.78","53.46","37.6"
"Sulawesi Utara","49.54","61.92","56.25","40.91","58.18","50.37","33.45","59.78","46.92"
"Sulawesi Tengah","42.73","58.82","55.16","32.04","52.43","47.49","36.69","50.61","46.92"
"Sulawesi Selatan","44.26","72.12","62.31","36.67","60.44","51.83","34.48","62.58","51.37"
"Sulawesi Tenggara","41.06","63.09","57.19","34.17","60.43","53.03","36.96","57.18","50.04"
"Gorontalo","51.71","67.16","62.04","43.28","48.13","46.45","28.79","39.67","35.55"
"Sulawesi Barat","50.4","67.96","63.99","40.28","48.58","46.76","31.83","54.28","49.09"
"Maluku","41.05","50.87","47.01","41.25","43.74","42.73","37.11","49.26","44.15"
"Maluku Utara","36.22","58.59","52.42","42.45","38.95","39.92","28.01","35.29","33.1"
"Papua Barat","42.66","66.98","60.05","30.63","58.16","49.97","34.63","60.31","50.54"
"Papua","42.16","50.12","48.24","26.65","49.61","43.89","32.18","55.95","49.58"
"Indonesia","40.88","63.24","52.13","35.69","56.21","45.98","34.1","57.64","44.9"
